cenario,grandeza,evento,t_ini,t_fim,ref,escala,y_ini,y_reg,t_reg,t_pk,y_pk,sobressinal_pct,ha_sobressinal,excursao_significativa,t_acom,y_acom,tempo_acom,t_sub0,y_sub0,t_sub1,y_sub1,tempo_subida,tubo_inf,tubo_sup
Fonte CA (partida direta),conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,0.0028385931031727164,1.4255,0.189,20.3870204917758,326.3342726242144,True,False,0.553,0.31186363305438747,0.553,0.0,7.183374404358271,0.015,18.53708427451278,0.015,-0.3123205805929208,0.3123205805929208
Fonte CA (partida direta),conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,0.015124292713707415,6.24641160802686,2.9254999999999995,3.0,6.246411610783976,4.424633584555071e-08,True,True,1.684,5.936207924705956,0.18399999999999994,1.51,0.6903928955172329,1.639,5.6304379112107314,0.129,5.934091031265494,6.558732192451336
Fonte CA (partida direta),velocidade,Entrada em velocidade nominal,0.0,1.5,1709.9999999999998,1709.9999999999998,0.0,1799.884153597088,1.4255,1.49,1799.999999983692,0.006436324603033019,True,True,,,,0.041,181.99065590354152,0.35000000000000003,1620.5057551315342,0.30900000000000005,1624.4999999999998,1795.4999999999998
Fonte CA (partida direta),velocidade,Após a entrada da carga,1.5,3.0,1709.9999999999998,1709.9999999999998,1799.3469887444692,1703.329052131619,2.9254999999999995,3.0,1703.3290520838523,4.974764447366962e-08,True,True,1.5010000000000001,1794.8371156675196,0.001000000000000112,1.506,1789.5655255702254,1.645,1712.8885891812838,0.139,1624.4999999999998,1795.4999999999998
Inversor V/F,conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,0.0023872856675426486,1.4249950000000002,0.42318000000000006,14.41147521333832,230.67784870782518,True,False,0.90673,0.31212124079537884,0.90673,0.03114,1.4414394222710243,0.28994000000000003,12.970790794593675,0.25880000000000003,-0.3123205805929208,0.3123205805929208
Inversor V/F,conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,0.03375706304782802,6.260065699504497,2.925005,3.0,6.69976718212457,7.06199304103728,True,True,,,,1.5106100000000002,0.6564794754871841,1.63908,5.637927975925431,0.12846999999999986,5.934091031265494,6.558732192451336
Inversor V/F,velocidade,Entrada em velocidade nominal,0.0,1.5,1709.9999999999998,1709.9999999999998,0.0,1799.9012744380966,1.4249950000000002,1.3598800000000002,1800.1969611476343,0.01642794045078865,True,True,,,,0.19723000000000002,180.01097672249284,0.6842900000000001,1619.9247364847547,0.48706000000000005,1624.4999999999998,1795.4999999999998
Inversor V/F,velocidade,Após a entrada da carga,1.5,3.0,1709.9999999999998,1709.9999999999998,1799.2137841342937,1703.4629248771894,2.925005,2.9866400000000004,1703.3413054415778,0.12701654748081892,True,True,1.5007100000000002,1795.498571380857,0.0007100000000002105,1.50655,1789.6378234246347,1.64474,1713.0376100067301,0.13819000000000004,1624.4999999999998,1795.4999999999998
Inversor FOC (regra antiga),conjugado,Entrada em velocidade nominal,0.0,1.5,0.0,6.246411611858415,0.0,5.268046386883501,1.4249950000000002,0.02619,15.003696776682226,184.805707368841,True,True,,,,0.0,0.7712713248571769,0.00902,4.741682553009502,0.00902,-0.3123205805929208,0.3123205805929208
Inversor FOC (regra antiga),conjugado,Após a entrada da carga,1.5,3.0,6.246411611858415,6.246411611858415,7.605309089948395,6.246186351026305,2.925005,1.63671,6.176384202128492,5.135823785361137,True,True,1.5685300000000002,6.558371184119496,0.0685300000000002,1.5000000000000002,6.97275441488204,1.5714700000000001,6.381985833933394,0.07146999999999992,5.934091031265494,6.558732192451336
