cenario,sinal,janela,media,desvio,minimo,maximo
Fonte CA (partida direta),conjugado,pre_carga,8.311181505520639e-08,1.204794251683073e-07,1.0797193276899747e-09,5.092283801250456e-07
Fonte CA (partida direta),conjugado,pos_carga,6.246411381769456,3.790834310975994e-07,6.246409916116617,6.246411610829318
Fonte CA (partida direta),velocidade_rpm,pre_carga,1799.9999989639728,1.5019540213715973e-06,1799.9999936519619,1799.999999986717
Fonte CA (partida direta),velocidade_rpm,pos_carga,1703.3290560532755,6.570343810324685e-06,1703.3290520830844,1703.3290814559184
Fonte CA (partida direta),corrente_a,pre_carga,6.601885023845474e-10,2.857106754371219,-4.040474326345981,4.040474330011996
Fonte CA (partida direta),corrente_a,pos_carga,0.009809322232475503,4.4186455028260285,-6.24313575932277,6.243135759733031
Fonte CA (partida direta),conjugado,partida_completa,4.674605968225342,7.993466792076224,0.0,36.60603270327253
Fonte CA (partida direta),velocidade_rpm,partida_completa,1568.4796462307918,468.944000632114,0.0,1799.999999986717
Fonte CA (partida direta),corrente_a,partida_completa,-0.008551797283881541,9.733066743872493,-35.8000899605339,36.279634683374496
Fonte CA (partida direta),conjugado,apos_degrau_completa,5.997600489163952,0.8501305902441438,0.01307561801255099,6.246411610829318
Inversor V/F,conjugado,pre_carga,-0.003690859482048117,0.6549900083352747,-1.4993698169566043,1.5498054980770353
Inversor V/F,conjugado,pos_carga,6.246428087610001,0.6049090492837819,5.12175713066949,7.632822045698552
Inversor V/F,velocidade_rpm,pre_carga,1799.9842883091876,0.19808117789748017,1799.5318412999163,1800.4316795858988
Inversor V/F,velocidade_rpm,pos_carga,1703.4631609021235,0.14590367981997354,1703.1840202545918,1703.76704022503
Inversor V/F,corrente_a,pre_carga,-0.013359534682316711,2.882588958134968,-5.047312894818627,5.091093271566295
Inversor V/F,corrente_a,pos_carga,-0.00806559211812022,4.441368283312183,-6.907297431232036,6.774753978124252
Inversor V/F,conjugado,partida_completa,4.6749582405110415,5.451721436065963,-1.6260143412464818,15.713474191188833
Inversor V/F,velocidade_rpm,partida_completa,1252.2335500051297,680.9112210300489,-0.00014912945438903433,1800.5704194240839
Inversor V/F,corrente_a,partida_completa,-0.19165356025226982,6.11979277627868,-16.089783724767003,16.08590381507796
Inversor V/F,conjugado,apos_degrau_completa,5.995780892821388,1.051229196356405,-0.9119665450813143,7.632822045698552
Inversor FOC (regra antiga),conjugado,pre_carga,2.0799125405187344,4.7222617323248794,-10.793299438163606,11.993811599612695
Inversor FOC (regra antiga),conjugado,pos_carga,6.247424519476367,0.3811310315796621,5.051327653127791,7.929177179928716
Inversor FOC (regra antiga),velocidade_rpm,pre_carga,1542.983795212001,53.2947117344008,1486.8311870309756,1692.2514342373665
Inversor FOC (regra antiga),velocidade_rpm,pos_carga,1709.080027538811,0.08025731531142258,1708.837272363512,1709.2722066053504
Inversor FOC (regra antiga),corrente_a,pre_carga,0.3092456891157761,7.83995458758171,-19.901739639741518,19.585300367827575
Inversor FOC (regra antiga),corrente_a,pos_carga,0.027710187216613044,5.895818092639648,-9.32099910235208,10.020535933124034
Inversor FOC (regra antiga),conjugado,partida_completa,4.39488475207395,6.197561041711442,-15.147001291360189,25.687951627185246
Inversor FOC (regra antiga),velocidade_rpm,partida_completa,1266.8921168010224,497.8393555991435,-8.919235800670595e-12,1710.5396949131577
Inversor FOC (regra antiga),corrente_a,partida_completa,0.1926370242571523,7.664936824847332,-19.901739639741518,20.07468257212755
Inversor FOC (regra antiga),conjugado,apos_degrau_completa,6.290100416592517,0.4480847716470644,4.842472933607185,9.114665494223921
Inversor FOC (regra nova),conjugado,pre_carga,0.13692260932306702,4.487249092356006,-11.164901529582842,11.449154420978864
Inversor FOC (regra nova),conjugado,pos_carga,6.2454626011747205,0.38165847673852105,5.007361446282778,7.930203324696797
Inversor FOC (regra nova),velocidade_rpm,pre_carga,1500.126194685721,20.393216990030265,1465.717574668191,1539.9693887184178
Inversor FOC (regra nova),velocidade_rpm,pos_carga,1706.7607849782376,0.15147338074818337,1706.2399374528356,1707.17896268064
Inversor FOC (regra nova),corrente_a,pre_carga,-0.13662257713695347,7.479733339660875,-19.79359516917958,19.637078856336284
Inversor FOC (regra nova),corrente_a,pos_carga,-0.049048132258710256,5.8893793275352095,-9.422073007582073,10.064580335044496
Inversor FOC (regra nova),conjugado,partida_completa,3.9928076167990274,6.3491145866577,-13.663619376028992,23.55444175505078
Inversor FOC (regra nova),velocidade_rpm,partida_completa,1256.9760202198736,493.4305449239448,-9.515224094418226e-07,1710.0225718607292
Inversor FOC (regra nova),corrente_a,partida_completa,0.13438926668931578,7.5686924921462575,-19.895300245237596,19.637078856336284
Inversor FOC (regra nova),conjugado,apos_degrau_completa,6.685437794008875,0.8808749007577674,4.889121507990175,10.01714820929141
